Y,,X,Y,S
IAP 307,2251490,ARS 534,IAP 307,0.7928261999999999
IAS 493,2304158,PLA 493,IAS 493,0.9999998999999999
IAS 493,2294358,BUA 493,IAS 493,0.9999998999999999
IBC 590,2320060,MTC 790,IBC 590,0.99999976
IBC 590,2317767,MKT 590,IBC 590,0.99999976
IDN 590,2319986,EEE 590,IDN 590,0.99999976
IDN 590,2321505,MUP 790,IDN 590,0.99999976
IEE 461,883979,MSE 482,IEE 461,0.9148402
IEE 461,887276,MET 341,IEE 461,0.9055665
IEE 493,927516,LES 493,IEE 493,0.9999998999999999
IEE 493,931338,CDE 493,IEE 493,0.9999998999999999
IEE 561,1037088,MSE 482,IEE 561,0.8770292
IEE 561,1036189,OMT 480,IEE 561,0.8551201999999999
IFT 200,1401318,IFT 433,IFT 200,0.93774295
IFT 200,1403751,SER 322,IFT 200,0.93605435
IND 122,358313,IND 512,IND 122,0.7904475999999999
IND 122,358320,IND 550,IND 122,0.78828305
INT 111,789702,INT 310,INT 111,0.8606683
INT 111,789727,INT 527,INT 111,0.84752774
INT 222,825547,INT 527,INT 222,0.90442014
INT 222,829329,LDE 262,INT 222,0.8912585999999999
JMC 102,675146,MCO 102,JMC 102,0.99999994
JMC 102,671882,EDT 523,JMC 102,0.7899769
JPN 592,1354110,SDO 592,JPN 592,0.99999994
JPN 592,1353646,NEU 592,JPN 592,0.99999994
JST 445,1282187,FMS 445,JST 445,1.0000002000000001
JST 445,1286580,SLC 445,JST 445,1.0000002000000001
JUS 353,976219,TCL 353,JUS 353,0.99999964
JUS 353,980079,AFR 352,JUS 353,0.99999964
JUS 493,1476018,SED 493,JUS 493,0.9999998999999999
JUS 493,1474379,TEM 493,JUS 493,0.9999998999999999
JUS 650,1779774,CON 501,JUS 650,0.89195013
JUS 650,1779604,COM 308,JUS 650,0.88999844
LAS 498,1323650,ART 498,LAS 498,1.0000001
LAS 498,1324169,ARE 498,LAS 498,1.0
LAT 101,160862,ROM 101,LAT 101,0.847726
LAT 101,161673,POR 101,LAT 101,0.847726
LAT 202,221720,ENG 303,LAT 202,0.8242663
LAT 202,230535,GRK 302,LAT 202,0.740382
LAW 649,2096639,LAW 647,LAW 649,0.8351344
LAW 649,2096677,LAW 736,LAW 649,0.8159566
LAW 655,988711,LAW 622,LAW 655,0.79748595
LAW 655,988678,LAW 530,LAW 655,0.7734517
LAW 775,1973566,ACC 450,LAW 775,0.78414404
LAW 775,1977318,CRJ 513,LAW 775,0.78295445
LDE 595,1322907,RDG 795,LDE 595,0.9999998999999999
LDE 595,1322936,CEN 795,LDE 595,0.9999998999999999
LIA 194,1017783,DAH 194,LIA 194,1.0
LIA 194,1023407,ART 494,LIA 194,1.0
LNP 592,1011413,ADE 692,LNP 592,0.99999994
LNP 592,1015406,THP 592,LNP 592,0.99999994
LSE 799,433241,NEU 799,LSE 799,1.0
LSE 799,432536,MTC 799,LSE 799,1.0
LTC 593,1102403,MET 593,LTC 593,1.0
LTC 593,1101951,RDG 693,LTC 593,0.9999998999999999
MAE 515,406587,CEE 536,MAE 515,0.9999998
MAE 515,415315,EEE 643,MAE 515,0.88545966
MAE 575,753325,EEE 434,MAE 575,0.8221844000000001
MAE 575,744694,CEE 521,MAE 575,0.81072116
MAE 579,784034,MEE 441,MAE 579,1.0
MAE 579,786555,SOS 534,MAE 579,0.80426997
MAE 582,806536,MEE 440,MAE 582,1.0
MAE 582,809601,EEE 463,MAE 582,0.84648997
MAT 598,1257832,EDT 598,MAT 598,1.0000001
MAT 598,1257518,PUB 598,MAT 598,1.0000001
MAT 599,1273721,MET 599,MAT 599,1.0
MAT 599,1269804,SWG 599,MAT 599,1.0
MBB 499,985999,IMD 499,MBB 499,0.99999994
MBB 499,988655,SOC 499,MBB 499,0.99999994
MCB 540,1117219,BIO 446,MCB 540,0.9147968000000001
MCB 540,1117267,BIO 552,MCB 540,0.90263176
MCE 599,1376022,MET 599,MCE 599,1.0
MCE 599,1375600,CEN 599,MCE 599,1.0
MCO 512,1045067,SGS 502,MCO 512,0.8165495
MCO 512,1045069,SGS 504,MCO 512,0.80455625
MCO 551,1062698,MCO 553,MCO 551,0.8646773999999999
MCO 551,1062700,MCO 556,MCO 551,0.80430293
MEE 323,1269020,EEE 627,MEE 323,0.79425853
MEE 323,1268900,EEE 203,MEE 323,0.7583449000000001
MET 214 (LAB),1527935,MET 331,MET 214 (LAB),0.79929143
MET 214 (LAB),1527929,MET 231,MET 214 (LAB),0.7548903
MET 231,1528048,MET 300,MET 231,0.8559046
MET 231,1528056,MET 345,MET 231,0.8389613000000001
MET 351,1528651,MET 460,MET 351,0.7634367
MET 351,1528650,MET 455,MET 351,0.7496096
MET 493,1529547,MET 599,MET 493,0.854137
MET 493,1529542,MET 592,MET 493,0.8421849
MGT 302,102571,MGT 459,MGT 302,0.9068563000000001
MGT 302,102568,MGT 425,MGT 302,0.8942884
MGT 425,129500,TGM 101,MGT 425,0.9269788
MGT 425,129560,TGM 545,MGT 425,0.9100348
MGT 498,145433,ART 498,MGT 498,1.0000001
MGT 498,144821,MTC 498,MGT 498,1.0
MGT 545,161161,TGM 549,MGT 545,0.8778521
MGT 545,161127,TGM 504,MGT 545,0.80764663
MGT 580,168024,MTC 580,MGT 580,0.99999976
MGT 580,169323,MET 580,MGT 580,0.99999976
MGT 594,183620,CDE 594,MGT 594,0.9999998999999999
MGT 594,183468,ART 594,MGT 594,0.9999998999999999
MHL 363,1231512,MHL 437,MHL 363,0.7912398
MHL 363,1234018,REL 377,MHL 363,0.7780451999999999
MHL 598,1477378,ECN 598,MHL 598,1.0000001
MHL 598,1484756,NEU 598,MHL 598,1.0000001
MKT 462,2030527,TGM 503,MKT 462,0.83474326
MKT 462,2028545,MKT 555,MKT 462,0.82616735
MKT 530,2077853,MCO 517,MKT 530,0.8945291
MKT 530,2076466,SOS 511,MKT 530,0.8888091
MKT 795,2167981,MUP 795,MKT 795,0.9999998999999999
MKT 795,2167518,ART 595,MKT 795,0.9999998999999999
MSE 501,611707,EEE 587,MSE 501,0.90026975
MSE 501,610106,MSE 517,MSE 501,0.88186526
MSE 550,666820,UET 411,MSE 550,0.8427186
MSE 550,668251,EEE 525,MSE 550,0.8371948
MTC 223,623236,MTC 425,MTC 223,0.82124984
MTC 223,623235,MTC 422,MTC 223,0.8209988000000001
MUE 480,1104072,MUE 568,MUE 480,0.9003363999999999
MUE 480,1104065,MUE 560,MUE 480,0.8910405999999998
MUE 569,1422794,MUP 542,MUE 569,0.78204834
MUE 569,1411256,MUE 575,MUE 569,0.78179526
MUE 589,1576072,MUP 388,MUE 589,0.844435
MUE 589,1576047,MUP 217,MUE 589,0.8296298000000001
MUP 311,1476514,MUP 511,MUP 311,0.9999998999999999
MUP 311,1476459,MUP 327,MUP 311,0.97963065
MUP 489,1490160,MUP 543,MUP 489,0.8171735
MUP 489,1490159,MUP 542,MUP 489,0.806588
MUS 294,636069,RUS 294,MUS 294,1.0
MUS 294,633959,DAH 494,MUS 294,1.0
MUS 347,668061,MTC 540,MUS 347,0.9046196
MUS 347,668026,MTC 315,MUS 347,0.8955169
NTR 300,2240081,NTR 448,NTR 300,0.8456815999999999
NTR 300,2240069,NTR 351,NTR 300,0.8081049
NTR 502,71646,ESS 540,NTR 502,0.89659166
NTR 502,71265,SOS 540,NTR 502,0.89659166
NUR 484,563043,ARP 684,NUR 484,1.0000002000000001
NUR 484,566994,HPS 584,NUR 484,1.0000002000000001
NUR 508,632058,IBC 725,NUR 508,0.90662324
NUR 508,632025,IBC 585,NUR 508,0.88526714
NUR 523,700949,HCR 440,NUR 523,0.9015373
NUR 523,701133,DNP 714,NUR 523,0.8928906999999999
NUR 579,731971,ECD 520,NUR 579,0.87411726
NUR 579,735686,MGT 423,NUR 579,0.87035906
NUR 605,799588,NUR 607,NUR 605,0.88273156
NUR 605,800707,DNP 679,NUR 605,0.8687998
NUR 628,856566,DNP 612,NUR 628,0.9009038
NUR 628,856609,DNP 673,NUR 628,0.87650055
OGL 260,227598,TGM 502,OGL 260,0.9482149999999999
OGL 260,227580,TGM 300,OGL 260,0.9482149999999999
OMT 504,1849412,OMT 520,OMT 504,0.8883286
OMT 504,1849413,OMT 540,OMT 504,0.8511822
PAF 492,1411769,OGL 492,PAF 492,1.0000002000000001
PAF 492,1407305,ACO 492,PAF 492,1.0000002000000001
PAF 547,1793255,SOS 516,PAF 547,0.9999998999999999
PAF 547,1782241,HSD 515,PAF 547,0.9999998999999999
PAF 549,1812908,JUS 405,PAF 549,0.7977098000000001
PAF 549,1812956,JUS 550,PAF 549,0.78431183
PAF 564,1898856,GTD 503,PAF 564,0.7997454
PAF 564,1891391,HST 313,PAF 564,0.7830628000000001
PBH 455,1097770,HCR 362,PBH 455,0.8832556999999999
PBH 455,1097748,HCR 260,PBH 455,0.8689809000000001
PHI 120,1828261,BIO 312,PHI 120,0.9042814
PHI 120,1823628,PHI 320,PHI 120,0.9042814
PHI 370,2092434,SLB 517,PHI 370,0.7624124
PHI 370,2092430,SLB 513,PHI 370,0.75832075
PHS 394,2021205,RUS 294,PHS 394,1.0
PHS 394,2019091,DAH 194,PHS 394,1.0
PHS 591,2211430,CED 791,PHS 591,1.0000002000000001
PHS 591,2212133,MUD 591,PHS 591,1.0000002000000001
PHS 593,2245545,MET 593,PHS 593,1.0
PHS 593,2238517,MUD 593,PHS 593,1.0
PHY 314,2265977,PHY 361,PHY 314,0.9185075999999999
PHY 314,2272642,MSE 457,PHY 314,0.9171591
PLB 784,1527924,ART 484,PLB 784,1.0000002000000001
PLB 784,1527309,MTC 484,PLB 784,1.0000002000000001
POR 595,417885,ARE 595,POR 595,0.9999998999999999
POR 595,417636,CEN 595,POR 595,0.9999998999999999
POS 245,457210,SGS 245,POS 245,0.9999996999999999
POS 245,456209,SLC 245,POS 245,0.9999996999999999
POS 401,583849,SGS 401,POS 401,1.0
POS 401,582503,STP 226,POS 401,0.8878126000000001
PSB 563,909531,SPE 568,PSB 563,0.8607905
PSB 563,907853,NUR 673,PSB 563,0.8472108
PSY 365,1254968,PSY 582,PSY 365,0.87709093
PSY 365,1254878,PSY 370,PSY 365,0.81519294
PSY 395,1277728,PSY 560,PSY 395,0.8238064
PSY 395,1278555,STS 301,PSY 395,0.76996994
PSY 432,1295852,PSY 529,PSY 432,0.99976075
PSY 432,1295882,PSY 568,PSY 432,0.6302295
PSY 576,1460658,SMC 562,PSY 576,0.82249534
PSY 576,1460183,CDE 430,PSY 576,0.8090245
PSY 582,1465248,SSH 512,PSY 582,0.8118144
PSY 582,1465641,MGT 550,PSY 582,0.7988645000000001
PSY 592,1477588,LDE 692,PSY 592,0.99999994
PSY 592,1478068,HHE 592,PSY 592,0.99999994
QBA 498,2141779,ART 498,QBA 498,1.0000001
QBA 498,2132142,AML 498,QBA 498,1.0
QBA 792,63131,HPS 792,QBA 792,1.0000001
QBA 792,56152,CSE 792,QBA 792,1.0000001
RDG 531,1413361,RDG 572,RDG 531,0.9252836999999999
RDG 531,1413355,RDG 532,RDG 531,0.8882344000000001
REL 230,482505,JST 230,REL 230,1.0
REL 230,482529,JST 491,REL 230,0.85937905
REL 406,1042865,REL 407,REL 406,0.8094738
REL 406,1044598,DNP 602,REL 406,0.7646969
REL 620,1321923,POS 652,REL 620,0.82652885
REL 620,1318280,JST 495,REL 620,0.8252562
SDO 592,1522731,MET 592,SDO 592,0.99999994
SDO 592,1522714,MET 492,SDO 592,0.94095075
SDO 595,1522969,MET 595,SDO 595,0.9999998999999999
SDO 595,1522953,MET 499,SDO 595,0.7783635999999999
SED 298,1713669,STP 298,SED 298,1.0
SED 298,1712218,SOC 298,SED 298,1.0
SEM 791,956578,MET 591,SEM 791,1.0000002000000001
SEM 791,951224,ECD 791,SEM 791,1.0000001
SER 191,1981451,MCB 191,SER 191,1.0000002000000001
SER 191,1982686,POS 191,SER 191,1.0000002000000001
SER 484,2245751,EDT 784,SER 484,1.0000002000000001
SER 484,2243675,MDC 484,SER 484,1.0000002000000001
SGS 111,1523462,SGS 454,SGS 111,0.7331563
SGS 111,1523432,SGS 202,SGS 111,0.70636594
SLC 425,954527,SGS 303,SLC 425,0.8742671999999999
SLC 425,954528,SGS 304,SLC 425,0.86036503
SLC 482,973860,MCO 551,SLC 482,0.8304993
SLC 482,974757,SGS 503,SLC 482,0.7914371
SLC 485,976532,TSS 608,SLC 485,0.7889166999999999
SLC 485,975898,SLC 596,SLC 485,0.73286915
SOC 194,1890498,FMP 394,SOC 194,1.0
SOC 194,1891196,ART 494,SOC 194,1.0
SOS 111,865551,STS 235,SOS 111,0.867491
SOS 111,864507,SOS 320,SOS 111,0.8318396
SOS 520,1073012,ART 499,SOS 520,0.85065955
SOS 520,1073229,RDG 499,SOS 520,0.85065955
SPA 204,642856,SPA 315,SPA 204,0.93518555
SPA 204,642857,SPA 316,SPA 204,0.93096113
SPA 429,1115395,JPN 415,SPA 429,0.7937485
SPA 429,1106993,ENG 522,SPA 429,0.77628803
SPA 500,1441347,DAH 500,SPA 500,0.9999998999999999
SPA 500,1436913,EST 500,SPA 500,0.99999976
SPA 568,1793503,ITA 449,SPA 568,0.81730324
SPA 568,1791399,SPA 588,SPA 568,0.7949069999999999
SPA 580,1898755,MUD 580,SPA 580,0.99999976
SPA 580,1899186,COM 680,SPA 580,0.99999976
SPA 589,1998277,ENG 363,SPA 589,0.81711674
SPA 589,1997628,TCL 363,SPA 589,0.8171166999999999
SPA 595,2063417,GCU 695,SPA 595,0.9999998999999999
SPA 595,2068948,ESS 595,SPA 595,0.9999998999999999
SPE 325,377142,RDG 322,SPE 325,1.0000002000000001
SPE 325,373106,SPE 538,SPE 325,0.9667162
SPE 394,377989,RUS 194,SPE 394,1.0
SPE 394,377994,RUS 294,SPE 394,1.0
SPE 396,382270,SPE 576,SPE 396,1.0
SPE 396,384016,PPE 396,SPE 396,0.94578856
SPE 478,432497,SPE 578,SPE 478,0.9834655000000001
SPE 478,434272,PPE 477,SPE 478,0.9047649999999999
SPE 567,614111,SPE 568,SPE 567,0.92980635
SPE 567,614341,EDT 506,SPE 567,0.8779847
SPE 575,636822,EDP 567,SPE 575,0.8692125
SPE 575,637360,SWG 722,SPE 575,0.8475744000000001
SPE 593,708837,MET 593,SPE 593,1.0
SPE 593,706342,POS 593,SPE 593,0.9999998999999999
SPE 684,738078,PSY 484,SPE 684,1.0000002000000001
SPE 684,739267,SLC 484,SPE 684,1.0000002000000001
SSH 394,1735762,FMP 394,SSH 394,1.0
SSH 394,1736460,ART 494,SSH 394,1.0
SSH 792,1614436,LSE 792,SSH 792,1.0000001
SSH 792,1615794,BUS 792,SSH 792,1.0000001
SST 501,1203379,OGL 343,SST 501,0.8863366
SST 501,1198841,CMN 531,SST 501,0.8627312
SWG 580,806768,PPE 780,SWG 580,0.99999976
SWG 580,809024,RDG 780,SWG 580,0.99999976
SWG 630,908894,PSY 366,SWG 630,0.8779174000000001
SWG 630,908929,PSY 472,SWG 630,0.8708876
SWU 461,975186,POS 436,SWU 461,0.80665606
SWU 461,974813,SOC 264,SWU 461,0.76624227
TCL 485,121464,ENG 458,TCL 485,0.83670443
TCL 485,125078,FMS 464,TCL 485,0.83670443
TCL 499,191723,ISS 499,TCL 499,0.9999998999999999
TCL 499,192163,NEW 499,TCL 499,0.9999998999999999
TDM 483,2125658,PRM 483,TDM 483,0.9999998999999999
TDM 483,2136969,CSM 483,TDM 483,0.9999998999999999
TEL 315,485577,ECS 315,TEL 315,0.90067345
TEL 315,486863,SPE 506,TEL 315,0.88083696
TGM 559,318422,TGM 585,TGM 559,0.84184855
TGM 559,318960,MCO 436,TGM 559,0.83522415
THA 191,1789971,OMT 191,THA 191,1.0000002000000001
THA 191,1788102,ASB 191,THA 191,1.0000002000000001
THP 194,711767,ART 494,THP 194,1.0
THP 194,711939,CDE 494,THP 194,0.9999998999999999
THP 294,725770,ART 494,THP 294,1.0
THP 294,725709,ART 394,THP 294,0.9999998999999999
THP 505,793225,MUP 574,THP 505,0.82213914
THP 505,792291,THP 611,THP 505,0.8176472
THP 590,831348,ELS 790,THP 590,0.99999976
THP 590,831366,CEN 790,THP 590,0.99999976
TMC 331,153022,MET 341,TMC 331,0.9073962999999999
TMC 331,149725,MSE 482,TMC 331,0.8934665
TWC 494,325885,FMP 394,TWC 494,1.0
TWC 494,324475,FRE 194,TWC 494,1.0
USL 497,683476,SWG 722,USL 497,0.8793470999999999
USL 497,684474,SOC 461,USL 497,0.83814764
WPC 348,1767772,SWU 311,WPC 348,0.74577737
WPC 348,1769612,FMP 335,WPC 348,0.73907477
WST 305,2212335,SSH 305,WST 305,0.9999998999999999
WST 305,2212354,SSH 510,WST 305,0.8599258
ABS 381,770906,ABS 479,ABS 381,0.87086284
ABS 381,778305,ELS 535,ABS 381,0.86032546
ABS 414,805870,PLB 519,ABS 414,0.8659469999999999
ABS 414,807158,BIO 419,ABS 414,0.8659469999999999
ABS 551,1106699,STP 231,ABS 551,0.9313716000000001
ABS 551,1101781,MDL 441,ABS 551,0.9166429
ACC 410,1701639,TAM 521,ACC 410,0.92548954
ACC 410,1699268,ACC 513,ACC 410,0.9152659
ACC 511,1862792,ACC 587,ACC 511,0.79379785
ACC 511,1870054,BUS 434,ACC 511,0.78727686
ACO 100,1430405,CIS 360,ACO 100,0.93554354
ACO 100,1427055,ACO 320,ACO 100,0.9187511
AEE 191,1692775,ENG 191,AEE 191,1.0000002000000001
AEE 191,1696027,AFR 191,AEE 191,1.0000002000000001
AET 599,1346347,MET 599,AET 599,1.0
AET 599,1341913,INT 599,AET 599,1.0
AFR 333,169551,AFR 365,AFR 333,0.8488225
AFR 333,171938,WST 364,AFR 333,0.8488225
AFR 350,202254,SOC 350,AFR 350,1.0
AFR 350,204615,CDE 350,AFR 350,1.0
AFR 372,293981,SGS 366,AFR 372,0.9999995999999999
AFR 372,288146,AFR 373,AFR 372,0.8771705
AFR 380,308662,HCD 422,AFR 380,0.859289
AFR 380,305903,AFR 383,AFR 380,0.77040744
AFR 460,352210,MCO 460,AFR 460,0.9999998999999999
AFR 460,352241,MCO 546,AFR 460,0.8009899
AIS 511,1667686,ARS 302,AIS 511,0.73942006
AIS 511,1666505,AIS 516,AIS 511,0.73004866
ALD 560,2151892,SWG 661,ALD 560,0.79141915
ALD 560,2153493,PSY 366,ALD 560,0.7848371
AME 410,1672036,ART 218,AME 410,0.89463556
AME 410,1662774,AME 520,AME 410,0.8888514999999999
AME 530,1793355,TSS 506,AME 530,0.89087045
AME 530,1792996,ART 402,AME 530,0.8622603999999999
AML 792,1571264,GLG 792,AML 792,1.0000001
AML 792,1571326,COE 792,AML 792,1.0000001
ANB 700,769378,DAH 500,ANB 700,0.9999998999999999
ANB 700,769670,ASB 500,ANB 700,0.99999976
ANP 591,1053485,CED 791,ANP 591,1.0000002000000001
ANP 591,1061216,MET 591,ANP 591,1.0000002000000001
APA 340,574353,APA 345,APA 340,0.84394646
APA 340,579932,FMS 345,APA 340,0.84394646
APA 493,740515,AEE 493,APA 493,0.9999998999999999
APA 493,743925,BCH 493,APA 493,0.9999998999999999
APH 314,1048585,APH 421,APH 314,0.8352915000000001
APH 314,1048583,APH 405,APH 314,0.8220805
ARA 591,1927549,MET 591,ARA 591,1.0000002000000001
ARA 591,1919818,CED 791,ARA 591,1.0000002000000001
ARS 100,1107233,ART 553,ARS 100,0.87287855
ARS 100,1107186,ART 430,ARS 100,0.86629134
ARS 201,1111644,ARS 473,ARS 201,0.9084244
ARS 201,1111643,ARS 472,ARS 201,0.89732456
ARS 406,1124308,ARS 410,ARS 406,0.9301881999999999
ARS 406,1124309,ARS 412,ARS 406,0.88369215
ARS 426,1132404,ARS 514,ARS 426,0.8361485000000001
ARS 426,1132507,ART 423,ARS 426,0.7029302
ARS 584,1173802,MUP 784,ARS 584,1.0000002000000001
ARS 584,1173988,MET 484,ARS 584,1.0000002000000001
ARS 590,1176117,CEN 790,ARS 590,0.99999976
ARS 590,1175942,JPN 590,ARS 590,0.99999976
ARS 690,1182009,TSS 790,ARS 690,0.99999976
ARS 690,1181967,CEN 590,ARS 690,0.99999976
ART 365,1226785,ART 473,ART 365,0.7677494
ART 365,1227456,MET 345,ART 365,0.7620431
ART 402,1234820,TSS 506,ART 402,0.8798716999999999
ART 402,1234539,ART 539,ART 402,0.86798984
ART 443,1257819,ART 466,ART 443,0.75465405
ART 443,1258132,TSS 506,ART 443,0.7445189999999999
ART 584,1303806,RDG 484,ART 584,1.0000002000000001
ART 584,1304092,MUP 784,ART 584,1.0000002000000001
ASB 275,1451912,SLC 201,ASB 275,0.9244800999999999
ASB 275,1452628,TSS 614,ASB 275,0.89737296
ASB 314,1500799,SLC 362,ASB 314,0.8044318
ASB 314,1501520,GRK 362,ASB 314,0.8044318
ASB 497,1899045,WST 497,ASB 497,1.0
ASB 497,1897285,HCR 497,ASB 497,1.0
ASC 499,1475040,JST 499,ASC 499,0.99999994
ASC 499,1479303,HPS 499,ASC 499,0.99999994
AST 321,2078973,AST 322,AST 321,0.927005
AST 321,2082260,BIO 301,AST 321,0.77259254
AST 523,2174583,AST 531,AST 523,0.92967844
AST 523,2174584,AST 532,AST 523,0.89299965
AST 580,2208492,EDT 680,AST 580,0.99999976
AST 580,2208991,CIS 580,AST 580,0.99999976
ASU 101-CLS,2146395,ASU 101-CNE,ASU 101-CLS,1.0000001
ASU 101-CLS,2146407,ASU 101-MEE,ASU 101-CLS,1.0000001
ATC 432,480052,ATC 433,ATC 432,1.0
ATC 432,485334,SCM 511,ATC 432,0.69046855
ATE 452,11162,ATE 550,ATE 452,0.8570025
ATE 452,11166,ATE 562,ATE 452,0.8542003
ATE 583,126801,ESS 583,ATE 583,1.0
ATE 583,123743,FSE 583,ATE 583,1.0
ATE 593,165459,MET 593,ATE 593,1.0
ATE 593,158431,MUD 593,ATE 593,1.0
BCH 568,388119,PLB 558,BCH 568,0.9999998999999999
BCH 568,388110,PLB 308,BCH 568,0.9215949000000001
BDE 799,1137112,MUP 799,BDE 799,1.0
BDE 799,1135244,SSH 799,BDE 799,1.0
BIO 305,1410414,BIO 354 (LAB),BIO 305,0.8218601999999999
BIO 305,1410454,BIO 440,BIO 305,0.79082274
BIO 431,1606120,BIO 552,BIO 431,0.9185683000000001
BIO 431,1606076,BIO 455,BIO 431,0.8831173000000001
BIO 451,1633281,BIO 504,BIO 451,0.8465744000000001
BIO 451,1633280,BIO 503 (LAB),BIO 451,0.8397068999999999
BIO 599,1821309,MET 599,BIO 599,1.0
BIO 599,1818477,SOC 599,BIO 599,1.0
BLE 527,1094351,SPE 538,BLE 527,0.8315918999999999
BLE 527,1098403,RDG 531,BLE 527,0.8315918999999999
BLE 597,1220208,TEL 703,BLE 597,0.86680704
BLE 597,1223825,EDA 703,BLE 597,0.86680704
BME 498,199663,ART 498,BME 498,1.0000001
BME 498,193184,ISS 498,BME 498,1.0
BME 591,366357,CED 791,BME 591,1.0000002000000001
BME 591,374088,MET 591,BME 591,1.0000002000000001
BMI 598,1259146,AMS 598,BMI 598,1.0000001
BMI 598,1263183,IBC 598,BMI 598,1.0000001
BMI 602,1290594,SER 502,BMI 602,0.8806636
BMI 602,1291949,ACO 201,BMI 602,0.87270236
BMY 580,1907179,EDP 680,BMY 580,0.99999976
BMY 580,1911099,RDG 680,BMY 580,0.99999976
BUS 384,1518132,BUS 434,BUS 384,0.45682824
BUS 384,1518159,SDO 584,BUS 384,0.44876750000000004
BUS 499,1519586,MET 499,BUS 499,0.99999994
BUS 499,1519532,SGS 499,BUS 499,0.99999994
BUS 695,1521247,BUS 795,BUS 695,0.9999998999999999
BUS 695,1521370,MET 595,BUS 695,0.9999998999999999
CAP 315,858704,CAP 420,CAP 315,0.8035456999999999
CAP 315,858703,CAP 400,CAP 315,0.76600844
CAP 492,871920,JPN 492,CAP 492,1.0000002000000001
CAP 492,872246,MUP 492,CAP 492,1.0000002000000001
CDE 534,1389577,CDE 576,CDE 534,0.84716797
CDE 534,1389590,CDE 634,CDE 534,0.8233725000000001
CDH 580,261441,TGM 580,CDH 580,0.99999964
CDH 580,258608,EDP 680,CDH 580,0.9971308000000001
CED 523,1495827,PSY 534,CED 523,0.8217566999999999
CED 523,1495761,PSY 330,CED 523,0.8142281
CEE 512,165927,CEE 573,CEE 512,0.82559544
CEE 512,169183,ACO 331,CEE 512,0.8031782
CEE 784,754912,ADE 484,CEE 784,1.0000002000000001
CEE 784,756727,GPH 784,CEE 784,1.0000002000000001
CEL 375,831130,LAS 481,CEL 375,0.8326287
CEL 375,829374,SPA 481,CEL 375,0.8326287
CHI 680,184397,SED 780,CHI 680,0.99999976
CHI 680,178251,EVO 680,CHI 680,0.99999976
CHI 695,274667,RDG 695,CHI 695,0.9999998999999999
CHI 695,271152,CRD 795,CHI 695,0.9999998999999999
CHI 784,312352,IAP 484,CHI 784,1.0000002000000001
CHI 784,315751,SER 684,CHI 784,1.0000002000000001
CHM 424,886200,EEE 562,CHM 424,0.8663825
CHM 424,883082,MEE 491,CHM 424,0.8648051
CHM 484,1010870,EXW 484,CHM 484,1.0000002000000001
CHM 484,1011751,HDA 784,CHM 484,1.0000002000000001
CHM 532,1202262,MSE 330,CHM 532,0.88816506
CHM 532,1198561,GLG 581,CHM 532,0.8866886
CHS 484,287537,ATE 584,CHS 484,1.0000002000000001
CHS 484,292905,CSM 484,CHS 484,1.0000002000000001
CIS 235,1206817,TGM 528,CIS 235,0.8496948000000001
CIS 235,1207389,MCO 436,CIS 235,0.8415485999999999
CIS 560,1384998,STC 530,CIS 560,0.856547
CIS 560,1384210,OGL 320,CIS 560,0.8489173000000001
CIS 598,1426722,MGT 598,CIS 598,1.0000001
CIS 598,1424916,ROM 598,CIS 598,1.0000001
CIS 795,1464099,HPS 795,CIS 795,0.9999998999999999
CIS 795,1464912,SLC 595,CIS 795,0.9999998999999999
CNE 452,377713,CON 450,CNE 452,0.854773
CNE 452,377726,CON 488,CNE 452,0.805459
COE 695,332658,POS 795,COE 695,0.9999998999999999
COE 695,334300,ARS 595,COE 695,0.9999998999999999
COM 310,1760615,COM 110,COM 310,0.80029356
COM 310,1760634,COM 316,COM 310,0.78402555
COM 416,262772,WST 475,COM 416,0.8389486999999999
COM 416,265211,SLC 455,COM 416,0.80869365
COM 422,2136187,POS 301,COM 422,0.836591
COM 422,2138691,SGS 305,COM 422,0.836591
COM 429,305209,MCO 450,COM 429,0.8153541999999999
COM 429,299575,COM 467,COM 429,0.79299104
COM 446,335969,WST 483,COM 446,0.8129361999999999
COM 446,335995,WST 640,COM 446,0.80681264
CON 101,863986,PUP 420,CON 101,0.8544611999999999
CON 101,862978,EDS 201,CON 101,0.8531655999999999
CON 472,1099851,PUP 573,CON 472,0.8480196
CON 472,1098679,HCR 301,CON 472,0.8431834
CON 561,1265276,MGT 302,CON 561,0.8440583
CON 561,1261364,ERM 540,CON 561,0.81684387
CON 799,1423576,MTE 799,CON 799,1.0
CON 799,1423360,ASB 799,CON 799,1.0
CPI 462,571540,EDT 329,CPI 462,0.83887756
CPI 462,571562,EDT 561,CPI 462,0.8173814
CPY 693,149448,MUD 593,CPY 693,1.0
CPY 693,156476,MET 593,CPY 693,1.0
CRD 591,580168,MET 591,CRD 591,1.0000002000000001
CRD 591,579537,LDE 691,CRD 591,1.0000001
CRD 695,623753,ARE 695,CRD 695,0.9999998999999999
CRD 695,623497,CEN 595,CRD 695,0.9999998999999999
CRJ 260,1503488,CRJ 513,CRJ 260,0.8592948
CRJ 260,1503471,CRJ 464,CRJ 260,0.82058764
CRJ 411,1590452,POS 470,CRJ 411,0.76206064
CRJ 411,1589276,CRJ 444,CRJ 411,0.7447524
CRJ 503,1694247,POS 601,CRJ 503,0.91688275
CRJ 503,1694762,CSM 402,CRJ 503,0.8932247
