Y,,X,Y,S
HPS 584,2131481,EEE 684,HPS 584,1.0000002000000001
HPS 584,2132071,SLB 684,HPS 584,1.0000002000000001
HPS 590,2134496,MCE 790,HPS 590,0.99999976
HPS 590,2134629,CEN 790,HPS 590,0.99999976
HRC 294,507148,RUS 194,HRC 294,1.0
HRC 294,510663,ART 494,HRC 294,1.0
HRC 498,581917,ART 498,HRC 498,1.0000001
HRC 498,575618,TMC 498,HRC 498,1.0
HSD 501,71802,POS 571,HSD 501,1.0000002000000001
HSD 501,72939,STS 318,HSD 501,0.87862647
HSD 503,98569,POS 573,HSD 503,1.0
HSD 503,99708,STS 330,HSD 503,0.8797777
HSE 230,1424241,HSE 430,HSE 230,0.944017
HSE 230,1428055,OMT 548,HSE 230,0.92865276
HSM 502,1096770,IBC 630,HSM 502,0.89844286
HSM 502,1089189,HSM 506,HSM 502,0.8938687
HSM 575,1241121,IBC 540,HSM 575,0.85224825
HSM 575,1238090,HCI 561,HSM 575,0.83685446
HST 318,648585,OMT 405,HST 318,0.7906797
HST 318,644838,ECN 365,HST 318,0.7882621999999999
HST 351,1042013,HST 353,HST 351,0.90470624
HST 351,1054068,ARS 406,HST 351,0.8709278
HST 400,1602078,ENG 427,HST 400,0.8216555
HST 400,1602081,ENG 430,HST 400,0.8216555
HST 407,1660270,POS 442,HST 407,0.86120296
HST 407,1649922,HST 424,HST 407,0.8263155000000001
HST 418,1782061,TCL 331,HST 418,0.7969807
HST 418,1778986,HST 447,HST 418,0.78503585
HST 502,39858,HST 643,HST 502,0.8317934000000001
HST 502,39856,HST 641,HST 502,0.8301636
HST 790,432456,ECD 790,HST 790,0.99999976
HST 790,433833,CRD 590,HST 790,0.99999976
HUD 361,1366825,HUD 363,HUD 361,1.0000002000000001
HUD 361,1372928,INT 446,HUD 361,0.85162604
HUM 599,567913,MET 599,HUM 599,1.0
HUM 599,558067,JUS 599,HUM 599,1.0
IAP 375,156405,AME 531,IAP 375,0.9200642
IAP 375,165780,ART 529,IAP 375,0.91154987
