Year,Celsius
95, -0.07265502959489822,
96, -0.006800422910600901,
97, -0.036453887820243835,
98, -0.06363701820373535,
99, -0.05692049860954285,
100, 0.021000882610678673,
101, -0.007323370780795813,
102, -0.07337501645088196,
103, 0.014211858622729778,
104, -0.03519816696643829,
105, 0.05555166304111481,
106, -0.043408021330833435,
107, -0.031932953745126724,
108, 0.02414611354470253,
109, 0.040435731410980225,
110, -0.005815228912979364,
111, -0.054640885442495346,
112, 0.027366816997528076,
113, 0.04448931664228439,
114, -0.017109112814068794,
115, 0.025976840406656265,
116, 0.01904018223285675,
117, 0.016533778980374336,
118, -0.01521968562155962,
119, -0.03131420165300369,
120, -0.022086119279265404,
121, 0.017859620973467827,
122, -0.05814172327518463,
123, -0.011595646850764751,
124, -0.012596873566508293,
125, 0.05995413288474083,
126, -0.017105726525187492,
127, -0.06370154023170471,
128, 0.01726856455206871,
129, 0.01393935363739729,
130, 0.040832001715898514,
131, -0.030858954414725304,
132, -0.024899160489439964,
133, -0.03433309867978096,
134, -0.05044933035969734,
135, 0.005614712368696928,
136, -0.04375263676047325,
137, 0.08020573854446411,
138, 0.00855193194001913,
139, -0.043146248906850815,
140, -0.060342755168676376,
141, -0.02043544314801693,
142, -0.018007386475801468,
143, 0.03896978497505188,
144, 0.016638515517115593,
145, 0.09494520723819733,
146, -0.010113880038261414,
147, -0.04777553677558899,
148, -0.040220823138952255,
149, -0.07195723801851273,
150, -0.06311815977096558,
151, -0.046685319393873215,
152, -0.058863840997219086,
153, -0.013838796876370907,
154, 0.03738041967153549,
155, -0.0234305988997221,
156, -0.01672651618719101,
157, -0.02739908918738365,
158, -0.046172332018613815,
159, 0.05398005619645119,
160, -0.08252570778131485,
161, 0.03324774652719498,
162, -0.05395575612783432,
163, 0.0160832442343235,
164, -0.036230165511369705,
165, -0.0878293365240097,
166, 0.014985288493335247,
167, -0.049193378537893295,
168, 0.050822243094444275,
169, -0.04784804955124855,
170, 0.0017233176622539759,
171, -0.006354654673486948,
172, -0.03262561932206154,
173, 0.007884129881858826,
174, 0.07000316679477692,
175, 0.027524622157216072,
176, -0.012104539200663567,
177, 0.050616826862096786,
178, -0.07167314738035202,
179, -0.005864596925675869,
180, -0.008200624026358128,
181, 0.010932684876024723,
182, 0.013081717304885387,
183, 0.008678424172103405,
184, 0.011732243001461029,
185, -0.0012701479718089104,
186, -0.035095904022455215,
187, 0.011587601155042648,
188, 0.06353378295898438,
189, 0.04247814044356346,
190, -0.05209540203213692,
191, 0.008148089982569218,
192, -0.037903644144535065,
193, 0.008891135454177856,
194, -0.05262494832277298,
195, 0.004192574881017208,
196, -0.014137260615825653,
197, 0.033624593168497086,
198, 0.05098511651158333,
199, 0.022105863317847252,
200, 0.05118994414806366,
201, 0.08046165853738785,
202, 0.026766153052449226,
203, -0.07122328877449036,
204, -0.028665905818343163,
205, 0.02510359324514866,
206, 0.06088204309344292,
207, 0.03654998913407326,
208, 0.07450640946626663,
209, 0.048239365220069885,
210, 0.00707462802529335,
211, -0.022085020318627357,
212, -0.016318703070282936,
213, 0.0019513240549713373,
214, -0.026523752138018608,
215, -0.08196765929460526,
216, -0.0332280695438385,
217, 0.06146073713898659,
218, -0.03834974765777588,
219, -0.04049136862158775,
220, -0.03201359510421753,
221, 0.031264420598745346,
222, -0.05574722960591316,
223, -0.03594106063246727,
224, 0.0314447358250618,
225, 0.0005341547657735646,
226, -0.03287620469927788,
227, -0.011706775054335594,
228, -0.05417444556951523,
229, 0.0003903527103830129,
230, -0.046438802033662796,
231, 0.06492144614458084,
232, 0.048773325979709625,
233, 0.004635050427168608,
234, 0.02433951012790203,
235, 0.0575362890958786,
236, -0.0545278899371624,
237, 0.06568785011768341,
238, 0.06135008856654167,
239, -0.035589925944805145,
240, -0.03505464643239975,
241, 0.03481283411383629,
242, 0.0753486305475235,
243, -0.04897056519985199,
244, 0.015198897570371628,
245, 0.041663456708192825,
246, 0.06509776413440704,
247, -0.06562613695859909,
248, -0.009941579774022102,
249, 0.005606743972748518,
250, -0.03532871976494789,
251, 0.00779367471113801,
252, 0.048673879355192184,
253, -0.044262394309043884,
254, 0.0012998892925679684,
255, -0.024558862671256065,
256, -0.02853790670633316,
257, -0.021945606917142868,
258, 0.003121474990621209,
259, 0.05985357612371445,
260, -0.06688258051872253,
261, 0.03627115488052368,
262, 0.010945923626422882,
263, -0.04935267195105553,
264, -0.026621900498867035,
265, 0.039200328290462494,
266, 0.033399567008018494,
267, -0.03139083832502365,
268, -0.025448784232139587,
269, -0.052664197981357574,
270, -0.025693319737911224,
271, 0.06424316763877869,
272, -0.02055751346051693,
273, -0.030288200825452805,
274, 0.009573491290211678,
275, -0.03338238224387169,
276, 0.02548108622431755,
277, -0.019731348380446434,
278, 0.02161444164812565,
279, 0.06521503627300262,
280, 0.06217409670352936,
281, 0.05429469421505928,
282, -0.021713946014642715,
283, 0.023770129308104515,
284, 0.06273863464593887,
285, 0.007942571304738522,
286, -0.014920738525688648,
287, -0.008126471191644669,
288, -0.020304115489125252,
289, 0.02549804002046585,
290, 0.0031696632504463196,
291, 0.08534957468509674,
292, 0.0032713289838284254,
293, 0.008352926932275295,
294, -0.0073249451816082,
295, 0.01506823766976595,
296, -0.011166016571223736,
297, 0.022098425775766373,
298, -1.7685255443211645e-05,
299, -0.05126579850912094,
300, -0.02053697779774666,
301, -0.03907039761543274,
302, 0.026335906237363815,
