Y,X,Y,S
SLB 510,SLB 522,SLB 510,0.80825484
SLC 515,SMC 562,SLC 515,0.68856734
SLC 515,CDE 531,SLC 515,0.6697659
SLC 595,CDE 595,SLC 595,0.9999998999999999
SLC 595,ARS 795,SLC 595,0.9999998999999999
SLC 596,RDG 531,SLC 596,0.91604155
SLC 596,RDG 322,SLC 596,0.8975199
SLC 790,HHE 591,SLC 790,0.99999976
SLC 790,MUP 590,SLC 790,0.99999976
SOC 354,POS 367,SOC 354,0.8131889
SOC 354,POS 351,SOC 354,0.8126201
SOS 499,SOS 558,SOS 499,0.77562094
SOS 499,THP 529,SOS 499,0.7515781
SOS 578,SOS 596,SOS 578,0.8704723
SOS 578,MCO 755,SOS 578,0.86847305
SPA 394,FMP 394,SPA 394,1.0
SPA 394,FRE 294,SPA 394,1.0
SPA 790,STC 590,SPA 790,0.99999976
SPA 790,ENG 790,SPA 790,0.99999976
SPE 320,SPE 534,SPE 320,0.8907523
SPE 320,SPE 321,SPE 320,0.8822764000000001
SPE 561,SWG 606,SPE 561,0.80096215
SPE 561,EDP 310,SPE 561,0.7899772
SPE 795,EDT 795,SPE 795,0.9999998999999999
SPE 795,MKT 795,SPE 795,0.9999998999999999
SSH 695,ARE 795,SSH 695,0.9999998999999999
SSH 695,HPS 595,SSH 695,0.9999998999999999
SST 294,FRE 194,SST 294,1.0
SST 294,FMP 394,SST 294,1.0
SST 520,SLC 596,SST 520,0.79116046
SST 520,AIS 470,SST 520,0.78954244
STC 537,STS 330,STC 537,0.826991
STC 537,STC 540,STC 537,0.8253999
STP 584,ARS 484,STP 584,1.0000002000000001
STP 584,MCO 584,STP 584,1.0000002000000001
STP 795,RDG 795,STP 795,0.9999998999999999
STP 795,ART 595,STP 795,0.9999998999999999
SWG 612,SWU 411,SWG 612,0.9002224
SWG 612,SWG 614,SWG 612,0.869351
SWG 643,SWG 645,SWG 643,0.989311
SWG 643,SWG 646,SWG 643,0.9888918
TCL 201,TCL 303,TCL 201,0.9159666
